sku,sku_description,promo_type,regular_retail,discount_percent,promo_retail,margin_lift,sales_lift,volume_lift,sales_revenue,margin_dollars,margin_rate
SKU100025,Product Description 25,weekly b flyer,44.99,30.85,31.11,2.18,31.1,69.54,10328.52,1751.42,16.96
SKU100026,Product Description 26,weekly b flyer,78.64,21.78,61.51,5.67,231.5,149.48,6089.49,1695.48,27.84
SKU100027,Product Description 27,vendor flyer,78.83,20.88,62.37,5.88,11.06,48.9,21642.39,8393.27,38.78
SKU100028,Product Description 28,temporary price reduction,46.42,34.8,30.27,8.34,30.84,147.79,7385.88,2523.39,34.17
SKU100029,Product Description 29,temporary price reduction,79.63,29.8,55.9,4.84,114.1,59.05,15148.9,3846.52,25.39
SKU100030,Product Description 30,weekly b flyer,84.18,6.15,79.0,8.24,69.42,119.36,14773.0,1798.55,12.17
SKU100031,Product Description 31,temporary price reduction,66.17,15.37,56.0,3.46,104.43,128.41,3248.0,746.16,22.97
SKU100032,Product Description 32,temporary price reduction,24.39,35.48,15.74,5.97,33.77,135.01,818.48,197.16,24.09
SKU100033,Product Description 33,weekly a flyer,28.85,5.64,27.22,2.48,37.07,36.72,10643.02,1945.64,18.28
SKU100034,Product Description 34,weekly b flyer,32.85,24.08,24.94,4.16,201.16,57.98,2169.78,768.78,35.43
SKU100035,Product Description 35,cm promo,13.45,30.47,9.35,8.65,190.98,50.73,1112.65,396.02,35.59
SKU100036,Product Description 36,weekly b flyer,28.77,26.76,21.07,2.55,30.54,116.08,2486.26,736.88,29.64
SKU100037,Product Description 37,cm promo,22.53,31.62,15.41,8.2,168.61,17.0,3189.87,323.91,10.15
SKU100038,Product Description 38,weekly a flyer,46.62,30.4,32.45,3.19,154.28,104.61,10351.55,1420.41,13.72
SKU100039,Product Description 39,vendor flyer,91.03,29.22,64.43,0.83,179.77,19.32,3285.93,643.93,19.6
SKU100040,Product Description 40,temporary price reduction,12.24,33.75,8.11,1.54,121.24,68.74,3260.22,921.51,28.27
SKU100041,Product Description 41,weekly a flyer,72.59,27.6,52.56,7.59,71.15,137.97,7884.0,1841.69,23.36
SKU100042,Product Description 42,temporary price reduction,69.35,19.08,56.11,2.99,167.6,83.69,10380.35,3206.84,30.89
SKU100043,Product Description 43,vendor flyer,11.38,21.52,8.93,6.71,95.98,57.51,3384.47,669.14,19.77
SKU100044,Product Description 44,vendor flyer,92.41,30.09,64.61,7.14,58.64,123.94,16927.82,4644.08,27.43
SKU100045,Product Description 45,weekly a flyer,57.71,35.67,37.12,3.78,105.11,148.57,15998.72,5822.5,36.39
SKU100046,Product Description 46,vendor flyer,37.65,14.53,32.18,5.01,192.0,52.41,4247.76,1425.01,33.55
SKU100047,Product Description 47,cm promo,76.14,16.97,63.22,4.34,121.57,61.28,25540.88,5552.39,21.74
SKU100048,Product Description 48,vendor flyer,27.22,37.58,16.99,9.5,78.47,128.78,5487.77,1051.62,19.16
SKU100049,Product Description 49,temporary price reduction,69.96,25.25,52.3,3.54,208.81,193.11,9937.0,3688.55,37.12
SKU100050,Product Description 50,temporary price reduction,5.89,11.26,5.23,2.24,221.0,44.35,1835.73,289.12,15.75
SKU100051,Product Description 51,temporary price reduction,84.26,28.23,60.47,3.97,111.15,131.54,29448.89,4496.72,15.27
SKU100052,Product Description 52,temporary price reduction,45.92,39.68,27.7,6.86,96.8,181.5,5235.3,958.45,18.31
SKU100053,Product Description 53,cm promo,64.4,33.82,42.62,7.12,155.11,93.47,14703.9,2866.13,19.49
SKU100054,Product Description 54,weekly b flyer,23.68,31.1,16.32,9.28,19.2,64.74,2235.84,738.81,33.04
SKU100055,Product Description 55,weekly a flyer,68.35,12.28,59.96,8.88,174.37,134.04,28241.16,3505.11,12.41
SKU100056,Product Description 56,temporary price reduction,77.68,35.66,49.98,3.24,196.66,8.22,22241.1,7104.43,31.94
SKU100057,Product Description 57,vendor flyer,48.37,23.4,37.05,4.82,102.37,73.31,13782.6,4758.42,34.52
SKU100058,Product Description 58,temporary price reduction,62.54,36.13,39.95,7.6,47.78,53.08,13183.5,2747.97,20.84
SKU100059,Product Description 59,vendor flyer,46.72,16.54,38.99,9.21,12.06,46.48,18247.32,5305.75,29.08
SKU100060,Product Description 60,vendor flyer,89.62,7.17,83.19,3.7,161.13,37.59,37352.31,4485.7,12.01
SKU100061,Product Description 61,temporary price reduction,50.79,21.66,39.79,4.72,70.9,147.94,11539.1,3022.38,26.19
SKU100062,Product Description 62,cm promo,84.5,14.44,72.29,9.05,118.65,191.11,11638.69,4083.84,35.09
SKU100063,Product Description 63,vendor flyer,80.53,30.03,56.34,3.91,99.66,78.18,19719.0,2223.15,11.27
SKU100064,Product Description 64,vendor flyer,42.23,38.5,25.97,5.06,47.85,11.72,4934.3,1210.73,24.54
SKU100065,Product Description 65,temporary price reduction,24.55,29.18,17.39,9.09,129.55,144.34,3495.39,854.39,24.44
SKU100066,Product Description 66,vendor flyer,41.8,36.04,26.73,8.12,117.6,108.56,6762.69,1922.36,28.43
SKU100067,Product Description 67,vendor flyer,82.97,20.86,65.67,2.81,157.92,145.28,20160.69,3008.01,14.92
SKU100068,Product Description 68,temporary price reduction,24.31,32.01,16.53,3.59,66.71,130.29,6859.95,2152.01,31.37
SKU100069,Product Description 69,temporary price reduction,53.39,34.51,34.97,3.85,57.59,181.28,15491.71,6132.97,39.59
SKU100070,Product Description 70,weekly a flyer,81.0,29.88,56.8,9.17,204.51,29.81,18403.2,4615.83,25.08
SKU100071,Product Description 71,cm promo,36.64,22.77,28.3,9.99,177.04,35.49,7442.9,909.77,12.22
SKU100072,Product Description 72,cm promo,64.94,26.91,47.47,7.85,194.19,69.63,15617.63,4966.72,31.8
SKU100073,Product Description 73,vendor flyer,26.07,29.52,18.37,5.1,35.21,99.29,4372.06,1399.53,32.01
SKU100074,Product Description 74,cm promo,12.71,13.86,10.95,0.6,59.89,185.29,1992.9,355.87,17.86
SKU100075,Product Description 75,vendor flyer,79.85,33.34,53.23,7.13,146.01,181.58,6866.67,1149.07,16.73
SKU100076,Product Description 76,weekly a flyer,11.7,38.26,7.22,4.2,215.01,174.63,1083.0,291.69,26.93
SKU100077,Product Description 77,temporary price reduction,28.6,21.28,22.51,6.51,223.57,46.06,10512.17,1575.85,14.99
SKU100078,Product Description 78,temporary price reduction,85.8,29.54,60.46,6.26,208.82,146.48,24607.22,8573.65,34.84
SKU100079,Product Description 79,temporary price reduction,35.95,30.8,24.88,5.07,15.63,77.93,2811.44,815.02,28.99
SKU100080,Product Description 80,cm promo,97.36,28.18,69.93,9.47,206.12,186.37,4265.73,1188.93,27.87
SKU100081,Product Description 81,weekly a flyer,98.01,24.15,74.34,0.72,225.28,44.48,12786.48,3914.72,30.62
SKU100082,Product Description 82,cm promo,28.29,35.86,18.15,7.27,18.9,29.97,7514.1,2514.81,33.47
SKU100083,Product Description 83,cm promo,6.02,20.71,4.77,4.39,106.99,168.79,753.66,225.01,29.86
SKU100084,Product Description 84,weekly a flyer,71.1,7.14,66.02,7.28,136.47,143.95,15580.72,6148.14,39.46
SKU100085,Product Description 85,weekly a flyer,46.2,34.56,30.23,6.91,62.02,164.64,13724.42,2593.85,18.9
SKU100086,Product Description 86,weekly a flyer,11.87,28.59,8.48,0.6,131.59,33.27,3400.48,662.46,19.48
SKU100087,Product Description 87,weekly a flyer,71.34,34.72,46.57,3.21,222.06,177.19,11875.35,3146.19,26.49
SKU100088,Product Description 88,temporary price reduction,5.06,9.85,4.56,2.3,217.4,136.17,1915.2,580.55,30.31
SKU100089,Product Description 89,weekly b flyer,87.28,6.08,81.98,2.09,235.26,131.01,7870.08,2123.13,26.98
SKU100090,Product Description 90,weekly b flyer,15.59,37.7,9.71,7.42,123.61,117.35,3476.18,413.82,11.9
SKU100091,Product Description 91,weekly a flyer,14.48,10.17,13.01,2.78,105.59,153.45,1925.48,421.55,21.89
SKU100092,Product Description 92,weekly b flyer,19.22,33.34,12.81,5.01,168.12,84.29,4842.18,874.46,18.06
SKU100093,Product Description 93,weekly b flyer,96.11,33.81,63.61,2.85,107.11,28.3,18001.63,5961.15,33.11
SKU100094,Product Description 94,weekly a flyer,69.93,29.8,49.09,6.01,15.28,108.77,13254.3,4924.93,37.16
SKU100095,Product Description 95,weekly b flyer,80.53,9.59,72.8,7.35,181.38,150.12,34361.6,12887.13,37.5
SKU100096,Product Description 96,cm promo,40.97,28.36,29.35,3.65,73.84,32.42,13618.4,3518.92,25.84
SKU100097,Product Description 97,vendor flyer,34.96,36.12,22.33,6.23,17.03,46.36,2835.91,524.63,18.5
SKU100098,Product Description 98,vendor flyer,24.98,19.89,20.01,8.34,10.05,139.92,5322.66,892.95,16.78
SKU100099,Product Description 99,weekly a flyer,49.1,19.47,39.54,1.4,233.18,55.39,8817.42,1621.32,18.39
SKU100100,Product Description 100,temporary price reduction,56.08,20.5,44.58,7.25,66.76,35.65,21844.2,2756.11,12.62
SKU100101,Product Description 101,weekly a flyer,63.91,7.88,58.87,3.57,114.74,178.1,9124.85,3507.59,38.44
SKU100102,Product Description 102,temporary price reduction,27.2,36.22,17.35,1.67,237.89,33.86,3712.9,532.42,14.34
SKU100103,Product Description 103,vendor flyer,94.97,35.42,61.33,5.68,119.54,70.14,28211.8,5693.06,20.18
SKU100104,Product Description 104,weekly a flyer,18.64,39.93,11.2,2.65,24.26,86.83,5174.4,1797.3,34.73
SKU100105,Product Description 105,cm promo,96.63,25.48,72.01,8.3,140.22,96.28,11665.62,2278.13,19.53
SKU100106,Product Description 106,weekly b flyer,3.46,31.29,2.38,0.91,26.61,73.54,464.1,114.39,24.65
SKU100107,Product Description 107,temporary price reduction,49.15,12.09,43.21,1.44,28.3,182.68,7821.01,2285.98,29.23
SKU100108,Product Description 108,weekly b flyer,34.67,28.36,24.84,5.45,213.61,132.41,3303.72,1075.73,32.56
SKU100109,Product Description 109,weekly b flyer,46.01,27.74,33.25,6.09,75.91,73.18,1662.5,433.5,26.08
SKU100110,Product Description 110,weekly a flyer,57.93,36.54,36.76,7.43,171.27,72.83,11101.52,3644.19,32.83
SKU100111,Product Description 111,weekly b flyer,44.69,34.08,29.46,2.96,129.69,101.58,2150.58,806.78,37.51
SKU100112,Product Description 112,cm promo,42.65,37.85,26.51,8.5,59.47,8.67,9198.97,1344.56,14.62
SKU100113,Product Description 113,weekly b flyer,73.81,35.41,47.67,9.55,131.87,185.48,11297.79,2509.79,22.21
SKU100114,Product Description 114,weekly a flyer,69.22,35.4,44.71,5.24,21.9,46.22,7153.6,2080.98,29.09
SKU100115,Product Description 115,cm promo,83.66,7.23,77.61,7.73,90.07,140.12,5665.53,1507.01,26.6
SKU100116,Product Description 116,vendor flyer,26.5,34.61,17.33,5.49,133.09,155.99,1819.65,255.76,14.06
SKU100117,Product Description 117,weekly b flyer,61.73,26.26,45.52,1.16,60.96,165.82,5371.36,1633.15,30.4
SKU100118,Product Description 118,weekly a flyer,59.35,18.32,48.48,3.6,166.75,34.8,3248.16,928.81,28.59
SKU100119,Product Description 119,vendor flyer,38.23,6.98,35.56,1.33,17.69,108.27,9850.12,1676.25,17.02
SKU100120,Product Description 120,vendor flyer,49.63,28.72,35.38,9.89,123.78,18.57,17619.24,5987.78,33.98
SKU100121,Product Description 121,temporary price reduction,32.75,16.49,27.35,2.68,180.17,161.35,12116.05,2450.12,20.22
SKU100122,Product Description 122,cm promo,15.9,21.37,12.5,6.54,110.34,98.32,5625.0,1517.08,26.97
SKU100123,Product Description 123,weekly b flyer,22.95,28.86,16.33,3.2,219.27,33.38,1747.31,436.74,24.99
SKU100124,Product Description 124,weekly a flyer,12.34,36.91,7.79,6.71,159.89,144.3,1651.48,270.74,16.39
SKU100125,Product Description 125,temporary price reduction,68.94,33.89,45.58,2.5,239.83,67.57,8249.98,842.0,10.21
SKU100126,Product Description 126,cm promo,66.75,20.77,52.89,7.96,74.61,24.67,25228.53,3798.06,15.05
SKU100127,Product Description 127,temporary price reduction,95.16,18.57,77.49,1.55,235.0,93.29,20767.32,7306.71,35.18
SKU100128,Product Description 128,cm promo,73.51,13.39,63.67,9.0,153.67,48.58,27314.43,9085.72,33.26
SKU100129,Product Description 129,cm promo,7.1,18.03,5.82,8.48,187.57,190.14,2211.6,612.66,27.7
SKU100130,Product Description 130,weekly b flyer,88.66,8.89,80.78,6.95,226.03,73.55,26899.74,4955.79,18.42
SKU100131,Product Description 131,cm promo,86.54,38.99,52.8,1.14,140.04,115.35,9926.4,2453.69,24.72
SKU100132,Product Description 132,temporary price reduction,45.45,25.09,34.05,2.48,216.23,189.78,1770.6,229.22,12.95
SKU100133,Product Description 133,cm promo,59.41,9.47,53.78,8.66,137.72,79.96,21780.9,8394.3,38.54
SKU100134,Product Description 134,weekly b flyer,97.66,17.35,80.72,1.66,151.8,72.91,24861.76,8016.55,32.24
SKU100135,Product Description 135,weekly b flyer,54.17,24.15,41.09,1.98,114.05,34.16,13559.7,4531.9,33.42
SKU100136,Product Description 136,temporary price reduction,90.72,23.65,69.26,5.67,40.68,187.78,26388.06,4664.06,17.67
SKU100137,Product Description 137,vendor flyer,10.14,6.24,9.51,3.1,140.61,160.55,580.11,151.16,26.06
SKU100138,Product Description 138,vendor flyer,20.72,38.28,12.79,2.61,244.47,45.76,6164.78,2438.15,39.55
SKU100139,Product Description 139,cm promo,45.19,14.64,38.58,5.97,197.86,67.87,18865.62,3168.84,16.8
SKU100140,Product Description 140,weekly a flyer,59.31,5.57,56.01,4.04,188.14,183.15,5713.02,1665.11,29.15
SKU100141,Product Description 141,cm promo,81.99,7.68,75.7,1.84,162.61,108.38,22937.1,7382.58,32.19
SKU100142,Product Description 142,temporary price reduction,98.85,25.31,73.83,5.58,90.24,112.15,10705.35,3695.32,34.52
SKU100143,Product Description 143,temporary price reduction,40.11,9.82,36.17,4.18,46.56,130.33,10163.77,1180.99,11.62
SKU100144,Product Description 144,temporary price reduction,6.65,6.46,6.22,7.48,60.02,152.91,1959.3,230.0,11.74
SKU100145,Product Description 145,temporary price reduction,80.51,18.29,65.79,1.48,6.55,187.98,10592.19,3993.62,37.7
SKU100146,Product Description 146,temporary price reduction,61.23,26.8,44.82,6.4,170.0,160.84,20258.64,6688.79,33.02
SKU100147,Product Description 147,weekly b flyer,21.46,8.91,19.55,4.65,203.91,187.04,1876.8,386.93,20.62
SKU100148,Product Description 148,vendor flyer,50.49,15.97,42.43,4.36,70.88,164.48,9801.33,1949.22,19.89
SKU100149,Product Description 149,temporary price reduction,74.75,19.62,60.08,2.71,27.5,11.19,17062.72,4687.1,27.47
SKU100150,Product Description 150,weekly a flyer,77.5,10.58,69.3,0.79,87.25,25.27,20997.9,4817.91,22.94
SKU100151,Product Description 151,weekly a flyer,50.96,22.71,39.39,8.55,76.55,177.21,2205.84,417.37,18.92
SKU100152,Product Description 152,weekly a flyer,31.91,7.98,29.36,3.6,115.46,7.48,11538.48,1325.16,11.48
SKU100153,Product Description 153,weekly a flyer,97.43,6.63,90.97,6.97,69.71,159.25,42937.84,7834.75,18.25
SKU100154,Product Description 154,weekly b flyer,67.01,23.19,51.47,9.5,88.23,170.27,17345.39,6364.35,36.69
SKU100155,Product Description 155,weekly a flyer,42.01,13.68,36.26,5.87,227.35,84.26,11893.28,2196.05,18.46
SKU100156,Product Description 156,temporary price reduction,29.49,8.34,27.03,4.27,87.03,72.26,9595.65,3643.3,37.97
SKU100157,Product Description 157,cm promo,73.65,19.84,59.04,3.05,197.45,40.49,26686.08,6651.45,24.92
SKU100158,Product Description 158,weekly a flyer,25.73,37.03,16.2,9.37,158.33,11.69,6852.6,1657.86,24.19
SKU100159,Product Description 159,weekly b flyer,18.83,30.35,13.12,6.98,87.7,149.59,3201.28,533.08,16.65
SKU100160,Product Description 160,weekly b flyer,53.92,33.55,35.83,6.82,205.36,16.6,2651.42,1051.37,39.65
SKU100161,Product Description 161,weekly a flyer,30.42,35.52,19.62,4.55,150.79,189.04,8985.96,1236.24,13.76
SKU100162,Product Description 162,cm promo,63.63,39.04,38.79,8.53,7.11,60.76,2133.45,428.47,20.08
SKU100163,Product Description 163,weekly a flyer,13.56,31.71,9.26,7.28,21.84,159.26,3722.52,1454.18,39.06
SKU100164,Product Description 164,weekly b flyer,66.18,26.29,48.78,3.19,189.4,13.82,9365.76,3296.66,35.2
SKU100165,Product Description 165,vendor flyer,29.76,17.79,24.47,6.2,114.4,108.18,5872.8,2279.5,38.81
SKU100166,Product Description 166,temporary price reduction,2.02,11.36,1.79,4.59,104.35,71.12,352.63,60.02,17.02
SKU100167,Product Description 167,weekly b flyer,14.44,29.03,10.25,0.56,40.73,7.94,2255.0,786.38,34.87
SKU100168,Product Description 168,weekly a flyer,93.49,39.82,56.26,8.17,43.54,131.85,8157.7,3151.48,38.63
SKU100169,Product Description 169,temporary price reduction,87.0,21.36,68.42,1.67,200.45,188.75,16694.48,5986.7,35.86
SKU100170,Product Description 170,weekly a flyer,24.89,30.33,17.34,5.34,208.11,4.13,5358.06,1243.78,23.21
SKU100171,Product Description 171,weekly a flyer,78.28,22.33,60.8,3.69,142.2,55.55,17328.0,4355.46,25.14
SKU100172,Product Description 172,vendor flyer,61.64,20.12,49.24,3.75,77.31,141.31,2708.2,883.21,32.61
SKU100173,Product Description 173,temporary price reduction,97.15,19.36,78.34,5.03,233.51,174.51,8460.72,990.91,11.71
SKU100174,Product Description 174,temporary price reduction,38.61,22.66,29.86,9.97,157.87,39.77,8898.28,1277.41,14.36
SKU100175,Product Description 175,vendor flyer,68.78,17.84,56.51,4.38,200.18,16.0,5707.51,1744.57,30.57
SKU100176,Product Description 176,weekly b flyer,8.23,31.21,5.66,2.23,5.8,3.71,1833.84,472.45,25.76
SKU100177,Product Description 177,weekly a flyer,40.83,35.6,26.29,6.33,115.33,44.61,4495.59,1101.21,24.5
SKU100178,Product Description 178,cm promo,96.45,35.9,61.82,2.74,218.38,16.12,4636.5,802.8,17.31
SKU100179,Product Description 179,weekly a flyer,54.82,12.97,47.71,1.5,87.87,73.16,16841.63,4574.46,27.16
SKU100180,Product Description 180,weekly a flyer,30.21,36.36,19.23,0.98,183.01,89.14,5115.18,1207.48,23.61
SKU100181,Product Description 181,weekly b flyer,13.79,16.95,11.45,0.72,166.13,97.02,2656.4,733.78,27.62
SKU100182,Product Description 182,weekly a flyer,70.95,15.83,59.72,4.6,42.29,30.18,8241.36,1410.54,17.12
SKU100183,Product Description 183,vendor flyer,65.2,30.44,45.36,4.55,194.85,93.87,22317.12,5204.79,23.32
SKU100184,Product Description 184,vendor flyer,38.65,15.66,32.6,2.26,32.57,3.79,2836.2,430.15,15.17
SKU100185,Product Description 185,temporary price reduction,95.19,6.85,88.67,7.95,183.34,49.41,11793.11,4527.13,38.39
SKU100186,Product Description 186,cm promo,4.18,18.08,3.42,1.73,247.79,75.08,1497.96,192.8,12.87
SKU100187,Product Description 187,weekly a flyer,31.76,30.25,22.15,9.2,239.71,25.43,10521.25,1622.2,15.42
SKU100188,Product Description 188,weekly a flyer,92.26,16.44,77.09,6.08,201.06,163.17,12103.13,1869.31,15.44
SKU100189,Product Description 189,weekly b flyer,33.45,27.03,24.41,0.76,135.96,41.84,5174.92,1852.14,35.79
SKU100190,Product Description 190,vendor flyer,26.72,28.1,19.21,9.65,170.33,151.47,4725.66,1516.74,32.1
SKU100191,Product Description 191,cm promo,54.35,30.68,37.68,3.43,183.39,95.83,11379.36,1205.32,10.59
SKU100192,Product Description 192,temporary price reduction,82.73,36.4,52.62,4.77,7.06,96.99,14523.12,1668.96,11.49
SKU100193,Product Description 193,vendor flyer,12.11,20.14,9.67,3.2,30.08,129.75,502.84,166.96,33.2
SKU100194,Product Description 194,temporary price reduction,94.42,10.83,84.2,7.42,151.28,10.77,29133.2,7869.73,27.01
SKU100195,Product Description 195,weekly b flyer,79.92,16.16,67.0,5.11,6.6,17.59,14003.0,4946.1,35.32
SKU100196,Product Description 196,weekly b flyer,19.76,20.13,15.78,1.76,227.68,66.72,5380.98,1728.42,32.12
SKU100197,Product Description 197,weekly a flyer,71.78,29.99,50.26,1.49,124.97,84.53,3970.54,1368.17,34.46
SKU100198,Product Description 198,cm promo,39.73,5.46,37.56,7.39,68.15,87.13,6197.4,2328.48,37.57
SKU100199,Product Description 199,temporary price reduction,41.42,16.05,34.77,2.75,101.49,136.02,14533.86,3286.92,22.62
SKU100200,Product Description 200,vendor flyer,78.76,32.29,53.32,1.81,213.44,2.14,11517.12,3774.9,32.78
SKU100201,Product Description 201,weekly b flyer,96.35,28.48,68.91,5.24,232.16,191.9,9785.22,1001.3,10.23
SKU100202,Product Description 202,weekly a flyer,14.41,30.61,10.0,8.13,33.48,36.55,2670.0,655.13,24.54
SKU100203,Product Description 203,weekly a flyer,43.22,33.41,28.78,3.15,195.6,51.23,4547.24,1329.03,29.23
SKU100204,Product Description 204,temporary price reduction,49.13,32.41,33.21,3.13,146.67,181.31,4582.98,577.69,12.61
SKU100205,Product Description 205,weekly b flyer,38.88,28.88,27.65,8.42,148.45,3.09,6553.05,1400.89,21.38
SKU100206,Product Description 206,cm promo,37.59,20.39,29.93,1.9,195.97,198.28,6973.69,2523.61,36.19
SKU100207,Product Description 207,weekly b flyer,7.12,39.43,4.31,6.36,59.6,9.12,1116.29,279.8,25.07
SKU100208,Product Description 208,temporary price reduction,69.18,24.92,51.94,9.57,135.11,25.87,21970.62,5881.01,26.77
SKU100209,Product Description 209,temporary price reduction,44.75,12.1,39.34,8.49,83.24,49.54,9244.9,1575.89,17.05
SKU100210,Product Description 210,weekly b flyer,21.09,15.25,17.87,1.09,28.16,88.87,5914.97,1134.89,19.19
SKU100211,Product Description 211,temporary price reduction,81.97,29.27,57.97,3.54,30.74,104.65,25390.86,7331.93,28.88
SKU100212,Product Description 212,weekly b flyer,80.65,37.37,50.51,1.85,38.44,22.73,11768.83,3049.97,25.92
SKU100213,Product Description 213,vendor flyer,49.67,11.26,44.08,9.52,155.65,16.59,20541.28,5019.54,24.44
SKU100214,Product Description 214,weekly b flyer,31.25,7.88,28.79,9.87,30.93,8.31,11803.9,3225.55,27.33
SKU100215,Product Description 215,weekly b flyer,64.53,35.85,41.39,2.73,144.68,52.84,7698.54,2830.63,36.77
SKU100216,Product Description 216,temporary price reduction,30.24,37.03,19.04,6.86,149.13,184.46,6416.48,823.66,12.84
SKU100217,Product Description 217,temporary price reduction,25.13,14.67,21.44,8.5,226.45,79.19,8190.08,1623.54,19.82
SKU100218,Product Description 218,weekly a flyer,73.59,18.21,60.19,2.72,158.46,153.27,9389.64,2432.7,25.91
SKU100219,Product Description 219,weekly a flyer,5.95,28.11,4.28,2.28,246.47,39.66,1973.08,452.08,22.91
SKU100220,Product Description 220,vendor flyer,11.29,16.55,9.42,0.61,12.59,14.81,4295.52,1443.51,33.61
SKU100221,Product Description 221,weekly a flyer,2.67,35.7,1.72,4.41,177.52,111.75,235.64,56.75,24.08
SKU100222,Product Description 222,weekly b flyer,16.99,8.77,15.5,9.04,11.49,164.77,2697.0,475.19,17.62
SKU100223,Product Description 223,temporary price reduction,8.76,6.33,8.21,9.08,183.7,179.9,2019.66,484.51,23.99
SKU100224,Product Description 224,weekly a flyer,99.59,12.3,87.34,1.71,99.53,110.15,13887.06,3552.32,25.58
SKU100225,Product Description 225,weekly a flyer,30.3,15.01,25.75,2.44,154.77,60.22,9450.25,2469.2,26.13
SKU100226,Product Description 226,vendor flyer,16.63,8.95,15.14,4.38,80.84,23.68,1468.58,251.88,17.15
SKU100227,Product Description 227,vendor flyer,25.62,7.3,23.75,7.92,43.98,134.23,8811.25,1533.14,17.4
SKU100228,Product Description 228,weekly b flyer,93.74,31.45,64.26,6.31,182.26,57.53,15358.14,2687.35,17.5
SKU100229,Product Description 229,temporary price reduction,52.98,10.75,47.28,5.38,226.63,169.1,7564.8,2467.25,32.61
SKU100230,Product Description 230,vendor flyer,37.75,36.99,23.79,6.12,49.98,121.81,6447.09,1383.75,21.46
SKU100231,Product Description 231,weekly a flyer,87.59,17.88,71.93,1.41,230.57,172.06,8487.74,1411.75,16.63
SKU100232,Product Description 232,temporary price reduction,40.71,28.47,29.12,5.04,39.34,114.2,6784.96,1570.25,23.14
SKU100233,Product Description 233,temporary price reduction,34.83,12.89,30.34,9.92,185.24,154.8,11498.86,1912.34,16.63
SKU100234,Product Description 234,weekly a flyer,22.31,13.41,19.32,1.34,240.06,60.27,8133.72,1168.64,14.37
SKU100235,Product Description 235,vendor flyer,39.02,25.11,29.22,5.43,41.11,101.61,6223.86,2164.86,34.78
SKU100236,Product Description 236,weekly a flyer,33.04,24.62,24.9,3.31,111.6,5.84,8490.9,2616.03,30.81
SKU100237,Product Description 237,temporary price reduction,68.38,31.91,46.56,5.63,87.68,122.35,22767.84,4999.98,21.96
